t (s), WC (mm), RC (mm), Rf (mm)
240.5,2.4264,18.113,19.362
240.67,2.4199,18.126,19.369
240.83,2.4187,18.135,19.376
241,2.4201,18.137,19.383
241.17,2.4207,18.138,19.391
241.33,2.4191,18.162,19.396
241.5,2.4168,18.167,19.404
241.67,2.4207,18.16,19.411
241.83,2.4161,18.178,19.418
242,2.4117,18.179,19.424
242.17,2.4152,18.2,19.432
242.33,2.4129,18.195,19.438
242.5,2.4149,18.204,19.446
242.67,2.412,18.218,19.453
242.83,2.4096,18.219,19.459
243,2.4116,18.231,19.466
243.17,2.4101,18.236,19.473
243.33,2.4084,18.247,19.479
243.5,2.4093,18.251,19.486
243.67,2.4068,18.254,19.492
243.83,2.4102,18.26,19.498
244,2.4078,18.27,19.505
244.17,2.4108,18.268,19.512
244.33,2.4089,18.295,19.519
244.5,2.4069,18.279,19.526
244.67,2.4026,18.3,19.531
244.83,2.4022,18.3,19.539
245,2.4009,18.302,19.546
245.17,2.4012,18.328,19.552
245.33,2.4037,18.323,19.559
245.5,2.4016,18.332,19.567
245.67,2.4016,18.331,19.573
245.83,2.4,18.349,19.58
246,2.3974,18.339,19.586
246.17,2.4016,18.352,19.593
246.33,2.3991,18.372,19.6
246.5,2.4003,18.378,19.608
246.67,2.396,18.372,19.614
246.83,2.3905,18.393,19.62
247,2.3948,18.408,19.628
247.17,2.3929,18.402,19.634
247.33,2.3925,18.411,19.641
247.5,2.3901,18.41,19.648
247.67,2.3904,18.422,19.655
247.83,2.3909,18.423,19.662
248,2.3915,18.45,19.668
248.17,2.3884,18.442,19.676
248.33,2.3899,18.45,19.683
248.5,2.3867,18.466,19.689
248.67,2.3847,18.471,19.696
248.83,2.3865,18.465,19.703
249,2.3854,18.47,19.71
249.17,2.3849,18.48,19.717
249.33,2.3843,18.487,19.723
249.5,2.3844,18.502,19.729
249.67,2.3781,18.51,19.736
249.83,2.3788,18.522,19.743
250,2.375,18.52,19.75
250.17,2.3749,18.538,19.757
250.33,2.3763,18.544,19.763
250.5,2.379,18.545,19.77
250.67,2.3779,18.544,19.776
250.83,2.3748,18.55,19.783
251,2.372,18.571,19.79
251.17,2.372,18.565,19.797
251.33,2.3723,18.583,19.803
251.5,2.3703,18.579,19.809
251.67,2.3751,18.593,19.816
251.83,2.372,18.601,19.822
252,2.3723,18.599,19.83
252.17,2.3709,18.608,19.837
252.33,2.3688,18.623,19.843
252.5,2.3699,18.621,19.849
252.67,2.3668,18.627,19.855
252.83,2.3697,18.636,19.861
253,2.3642,18.637,19.868
253.17,2.3704,18.644,19.875
253.33,2.3669,18.658,19.881
253.5,2.365,18.66,19.887
253.67,2.3678,18.662,19.895
253.83,2.3634,18.68,19.9
254,2.3622,18.686,19.907
254.17,2.3601,18.69,19.914
254.33,2.3652,18.687,19.921
254.5,2.3623,18.697,19.927
254.67,2.3593,18.706,19.934
254.83,2.3609,18.712,19.94
255,2.3584,18.724,19.947
255.17,2.3603,18.727,19.954
255.33,2.3575,18.734,19.96
255.5,2.3584,18.744,19.968
255.67,2.3558,18.744,19.973
255.83,2.3557,18.754,19.981
256,2.3541,18.751,19.987
256.17,2.3531,18.77,19.994
256.33,2.3547,18.771,20
256.5,2.3509,18.782,20.007
256.67,2.3529,18.797,20.013
256.83,2.3516,18.79,20.019
257,2.3477,18.806,20.026
257.17,2.3489,18.806,20.032
257.33,2.3488,18.813,20.038
257.5,2.3493,18.827,20.045
257.67,2.355,18.841,20.053
257.83,2.3486,18.838,20.059
258,2.3434,18.842,20.065
258.17,2.3466,18.862,20.072
258.33,2.3457,18.867,20.079
258.5,2.3491,18.871,20.085
258.67,2.3442,18.876,20.092
258.83,2.346,18.882,20.099
259,2.3447,18.889,20.105
259.17,2.3437,18.893,20.111
259.33,2.3378,18.897,20.117
259.5,2.3437,18.906,20.124
259.67,2.3443,18.907,20.131
259.83,2.3407,18.924,20.138
260,2.3409,18.932,20.144
260.17,2.3395,18.937,20.15
260.33,2.3454,18.943,20.158
260.5,2.3404,18.944,20.164
260.67,2.3377,18.964,20.17
260.83,2.3348,18.972,20.177
261,2.3391,18.963,20.182
261.17,2.3415,18.985,20.19
261.33,2.3345,18.978,20.196
261.5,2.3373,18.989,20.204
261.67,2.3378,18.995,20.21
261.83,2.3329,19.001,20.217
262,2.327,19.012,20.223
262.17,2.3297,19.015,20.23
262.33,2.3305,19.027,20.236
262.5,2.3278,19.038,20.243
262.67,2.3291,19.04,20.25
262.83,2.3235,19.046,20.256
263,2.3294,19.053,20.263
263.17,2.3274,19.06,20.27
263.33,2.3254,19.066,20.277
263.5,2.324,19.071,20.284
263.67,2.3243,19.07,20.29
263.83,2.3254,19.089,20.296
264,2.3246,19.085,20.302
264.17,2.3231,19.092,20.308
264.33,2.3202,19.11,20.315
264.5,2.323,19.114,20.321
264.67,2.3226,19.113,20.327
264.83,2.3227,19.127,20.333
265,2.3224,19.121,20.34
265.17,2.3147,19.128,20.346
265.33,2.3202,19.139,20.353
265.5,2.3183,19.155,20.359
265.67,2.321,19.154,20.366
265.83,2.3152,19.15,20.371
266,2.3184,19.167,20.378
266.17,2.3158,19.16,20.385
266.33,2.3135,19.183,20.392
266.5,2.3125,19.182,20.398
266.67,2.3116,19.198,20.404
266.83,2.3129,19.207,20.411
267,2.3147,19.201,20.418
267.17,2.3125,19.205,20.424
267.33,2.3142,19.212,20.431
267.5,2.3133,19.23,20.437
267.67,2.3115,19.231,20.444
267.83,2.3103,19.252,20.45
268,2.3097,19.251,20.456
268.17,2.3046,19.255,20.463
268.33,2.3043,19.268,20.47
268.5,2.3064,19.27,20.476
268.67,2.3067,19.267,20.483
268.83,2.3024,19.283,20.49
269,2.3061,19.28,20.496
269.17,2.3039,19.288,20.503
269.33,2.3047,19.301,20.508
269.5,2.3046,19.314,20.515
269.67,2.3015,19.322,20.522
269.83,2.3031,19.323,20.529
270,2.298,19.331,20.534
270.17,2.3012,19.326,20.541
270.33,2.301,19.34,20.547
270.5,2.2996,19.349,20.554
270.67,2.2997,19.356,20.56
270.83,2.3034,19.352,20.567
271,2.3022,19.362,20.573
271.17,2.2991,19.373,20.579
271.33,2.298,19.39,20.585
271.5,2.3002,19.39,20.592
271.67,2.2955,19.383,20.598
271.83,2.2992,19.395,20.605
272,2.298,19.405,20.61
272.17,2.2985,19.412,20.618
272.33,2.295,19.413,20.624
272.5,2.2936,19.426,20.631
272.67,2.2937,19.446,20.637
272.83,2.296,19.444,20.644
273,2.2967,19.438,20.65
273.17,2.2936,19.459,20.657
273.33,2.2913,19.46,20.664
273.5,2.2923,19.476,20.671
273.67,2.2936,19.472,20.677
273.83,2.2917,19.476,20.683
274,2.2894,19.484,20.69
274.17,2.2896,19.491,20.697
274.33,2.2884,19.501,20.703
274.5,2.2853,19.496,20.709
274.67,2.2863,19.51,20.715
274.83,2.2877,19.512,20.722
275,2.2869,19.529,20.728
275.17,2.2844,19.531,20.734
275.33,2.283,19.546,20.74
275.5,2.2844,19.546,20.747
275.67,2.2826,19.552,20.753
275.83,2.2795,19.556,20.759
276,2.2783,19.572,20.766
276.17,2.28,19.572,20.773
276.33,2.2806,19.578,20.78
276.5,2.2804,19.59,20.786
276.67,2.2814,19.588,20.792
276.83,2.2777,19.605,20.799
277,2.2795,19.607,20.805
277.17,2.2797,19.618,20.811
277.33,2.2757,19.624,20.817
277.5,2.2785,19.626,20.823
277.67,2.2786,19.639,20.83
277.83,2.28,19.638,20.836
278,2.2763,19.645,20.842
278.17,2.2777,19.642,20.849
278.33,2.2758,19.654,20.855
278.5,2.2719,19.667,20.861
278.67,2.2752,19.67,20.867
278.83,2.2714,19.676,20.873
279,2.2777,19.674,20.881
279.17,2.2708,19.688,20.886
279.33,2.2717,19.693,20.893
279.5,2.2717,19.711,20.899
279.67,2.2744,19.712,20.905
279.83,2.2691,19.725,20.911
280,2.2711,19.729,20.918
280.17,2.2698,19.729,20.924
280.33,2.2689,19.743,20.93
280.5,2.267,19.736,20.937
280.67,2.2673,19.741,20.942
280.83,2.2642,19.739,20.949
281,2.266,19.766,20.956
281.17,2.2653,19.765,20.962
281.33,2.2643,19.781,20.968
281.5,2.2638,19.784,20.975
281.67,2.2615,19.785,20.981
281.83,2.2598,19.792,20.987
282,2.2635,19.793,20.994
282.17,2.2628,19.813,20.999
282.33,2.2581,19.806,21.006
282.5,2.262,19.814,21.013
282.67,2.2564,19.825,21.018
282.83,2.2585,19.84,21.025
283,2.2585,19.831,21.031
283.17,2.2568,19.838,21.036
283.33,2.2575,19.852,21.043
283.5,2.2559,19.86,21.049
283.67,2.2583,19.857,21.055
283.83,2.2575,19.873,21.061
284,2.2572,19.869,21.067
284.17,2.255,19.881,21.074
284.33,2.2561,19.887,21.08
284.5,2.2588,19.89,21.086
284.67,2.2526,19.899,21.092
284.83,2.2545,19.906,21.1
285,2.2535,19.92,21.105
285.17,2.2543,19.921,21.112
285.33,2.2492,19.929,21.118
285.5,2.2517,19.934,21.125
285.67,2.2492,19.944,21.131
285.83,2.2515,19.955,21.137
286,2.2493,19.948,21.143
286.17,2.2516,19.957,21.149
286.33,2.2486,19.961,21.156
286.5,2.2491,19.969,21.162
286.67,2.247,19.971,21.167
286.83,2.2447,19.983,21.175
287,2.2477,19.989,21.183
287.17,2.2469,19.993,21.188
287.33,2.2452,19.991,21.194
287.5,2.2454,20.007,21.201
287.67,2.2447,20.024,21.209
287.83,2.2436,20.022,21.214
288,2.2451,20.04,21.221
288.17,2.2417,20.039,21.227
288.33,2.2476,20.039,21.234
288.5,2.2455,20.047,21.24
288.67,2.2395,20.047,21.246
288.83,2.2449,20.065,21.252
289,2.2387,20.066,21.258
289.17,2.24,20.07,21.264
289.33,2.2388,20.083,21.27
289.5,2.2389,20.081,21.276
289.67,2.2387,20.082,21.282
289.83,2.2385,20.09,21.289
290,2.2329,20.103,21.294
290.17,2.238,20.111,21.301
290.33,2.2384,20.112,21.307
290.5,2.2406,20.122,21.313
290.67,2.2353,20.125,21.318
290.83,2.2331,20.127,21.325
291,2.2317,20.139,21.33
291.17,2.2349,20.15,21.338
291.33,2.2291,20.153,21.343
291.5,2.2372,20.163,21.349
291.67,2.2321,20.177,21.355
291.83,2.2324,20.175,21.362
292,2.2302,20.173,21.367
292.17,2.2321,20.182,21.374
292.33,2.2312,20.193,21.38
292.5,2.2318,20.21,21.386
292.67,2.2302,20.208,21.392
292.83,2.2322,20.21,21.398
293,2.2318,20.214,21.405
293.17,2.232,20.217,21.411
293.33,2.2311,20.237,21.416
293.5,2.2266,20.242,21.423
293.67,2.2283,20.241,21.43
293.83,2.227,20.248,21.436
294,2.2261,20.258,21.442
294.17,2.2287,20.266,21.449
294.33,2.2263,20.277,21.454
294.5,2.2241,20.285,21.461
294.67,2.2263,20.284,21.466
294.83,2.2233,20.277,21.473
295,2.2265,20.297,21.479
295.17,2.2228,20.301,21.485
295.33,2.2221,20.309,21.491
295.5,2.2208,20.307,21.498
295.67,2.2234,20.322,21.504
295.83,2.2194,20.321,21.51
296,2.2213,20.33,21.515
296.17,2.2237,20.329,21.521
296.33,2.2239,20.338,21.528
296.5,2.2257,20.351,21.534
296.67,2.2223,20.348,21.54
296.83,2.2186,20.348,21.546
297,2.22,20.367,21.552
297.17,2.218,20.383,21.558
297.33,2.2196,20.37,21.564
297.5,2.2135,20.385,21.569
297.67,2.2162,20.39,21.577
297.83,2.2181,20.389,21.582
298,2.2145,20.4,21.587
298.17,2.2167,20.411,21.594
298.33,2.213,20.406,21.6
298.5,2.215,20.421,21.607
298.67,2.2129,20.421,21.612
298.83,2.2156,20.437,21.619
299,2.2116,20.443,21.625
299.17,2.2132,20.445,21.632
299.33,2.2098,20.445,21.637
299.5,2.2114,20.455,21.644
299.67,2.2118,20.465,21.65
299.83,2.2125,20.474,21.656
300,2.2134,20.477,21.663
300.17,2.2096,20.486,21.669
300.33,2.2079,20.48,21.676
300.5,2.2082,20.498,21.682
300.67,2.2067,20.499,21.687
300.83,2.2055,20.504,21.694
301,2.2048,20.512,21.7
301.17,2.2042,20.527,21.705
301.33,2.2039,20.521,21.712
301.5,2.2045,20.538,21.719
301.67,2.2038,20.551,21.724
301.83,2.2011,20.542,21.731
302,2.2015,20.563,21.736
302.17,2.2061,20.563,21.743
302.33,2.2008,20.566,21.749
302.5,2.2051,20.567,21.755
302.67,2.2039,20.571,21.761
302.83,2.2031,20.59,21.767
303,2.2049,20.591,21.773
303.17,2.2049,20.592,21.779
303.33,2.2021,20.605,21.784
303.5,2.2019,20.603,21.791
303.67,2.2011,20.609,21.797
303.83,2.2025,20.628,21.803
304,2.1969,20.624,21.808
304.17,2.1993,20.636,21.816
304.33,2.2006,20.64,21.822
304.5,2.1995,20.645,21.827
304.67,2.198,20.646,21.833
304.83,2.1932,20.651,21.838
305,2.1929,20.662,21.845
305.17,2.195,20.675,21.851
305.33,2.1929,20.669,21.856
305.5,2.1919,20.69,21.863
305.67,2.1941,20.692,21.869
305.83,2.1951,20.7,21.875
306,2.1959,20.707,21.881
306.17,2.1944,20.71,21.887
306.33,2.1952,20.707,21.893
306.5,2.1907,20.721,21.898
306.67,2.1973,20.737,21.905
306.83,2.1911,20.735,21.911
307,2.1956,20.736,21.917
307.17,2.1941,20.747,21.924
307.33,2.1931,20.758,21.929
307.5,2.1932,20.767,21.935
307.67,2.1881,20.761,21.941
307.83,2.1902,20.765,21.947
308,2.1883,20.773,21.954
308.17,2.1884,20.784,21.96
308.33,2.1895,20.786,21.966
308.5,2.1874,20.793,21.972
308.67,2.1858,20.805,21.977
308.83,2.1868,20.803,21.983
309,2.1835,20.814,21.99
309.17,2.1814,20.823,21.996
309.33,2.1852,20.819,22.002
309.5,2.182,20.835,22.008
309.67,2.1865,20.828,22.014
309.83,2.1858,20.839,22.02
310,2.1865,20.852,22.026
310.17,2.1836,20.845,22.032
310.33,2.187,20.862,22.038
310.5,2.1844,20.877,22.044
310.67,2.1845,20.871,22.05
310.83,2.1828,20.88,22.056
311,2.182,20.893,22.063
311.17,2.1822,20.905,22.069
311.33,2.1814,20.897,22.074
311.5,2.1811,20.905,22.081
311.67,2.1803,20.897,22.087
311.83,2.1836,20.917,22.093
312,2.1822,20.919,22.099
312.17,2.1827,20.935,22.105
312.33,2.1806,20.935,22.111
312.5,2.178,20.946,22.117
312.67,2.1777,20.938,22.122
312.83,2.1782,20.953,22.128
313,2.1776,20.969,22.135
313.17,2.1767,20.97,22.141
313.33,2.1771,20.973,22.147
313.5,2.1746,20.985,22.153
313.67,2.1755,20.988,22.16
313.83,2.1752,21,22.166
314,2.1757,21,22.171
314.17,2.1758,21.011,22.177
314.33,2.1746,21.01,22.183
314.5,2.1742,21.008,22.189
314.67,2.1743,21.026,22.195
314.83,2.1726,21.034,22.201
315,2.177,21.034,22.207
315.17,2.1751,21.04,22.212
315.33,2.1729,21.041,22.218
315.5,2.1735,21.057,22.224
315.67,2.1735,21.053,22.23
315.83,2.1738,21.067,22.236
316,2.1709,21.072,22.242
316.17,2.1715,21.082,22.248
316.33,2.1708,21.088,22.254
316.5,2.1684,21.094,22.26
316.67,2.168,21.09,22.265
316.83,2.1687,21.103,22.272
317,2.1673,21.104,22.277
317.17,2.1673,21.12,22.284
317.33,2.1649,21.121,22.289
317.5,2.1694,21.127,22.295
317.67,2.1657,21.137,22.302
317.83,2.1639,21.13,22.306
318,2.1694,21.139,22.313
318.17,2.1636,21.14,22.319
318.33,2.1682,21.15,22.325
318.5,2.1625,21.159,22.331
318.67,2.1638,21.17,22.337
318.83,2.1608,21.175,22.343
319,2.1613,21.189,22.348
319.17,2.1633,21.18,22.356
319.33,2.1617,21.196,22.361
319.5,2.1621,21.192,22.367
319.67,2.1611,21.198,22.373
319.83,2.1602,21.2,22.379
320,2.1586,21.215,22.384
320.17,2.1616,21.224,22.391
320.33,2.1624,21.223,22.397
320.5,2.1602,21.242,22.402
320.67,2.1581,21.245,22.408
320.83,2.16,21.245,22.414
321,2.1571,21.247,22.42
321.17,2.16,21.254,22.426
321.33,2.1592,21.26,22.431
321.5,2.1574,21.266,22.438
321.67,2.16,21.266,22.443
321.83,2.1587,21.28,22.449
322,2.1582,21.283,22.454
322.17,2.157,21.292,22.46
322.33,2.1596,21.287,22.466
322.5,2.1548,21.306,22.472
322.67,2.157,21.305,22.478
322.83,2.1563,21.318,22.484
323,2.1556,21.326,22.49
323.17,2.1571,21.319,22.495
323.33,2.1538,21.337,22.501
323.5,2.1551,21.334,22.507
323.67,2.156,21.35,22.513
323.83,2.1503,21.344,22.519
324,2.154,21.366,22.524
324.17,2.1562,21.358,22.531
324.33,2.1529,21.371,22.537
324.5,2.1521,21.373,22.543
324.67,2.1519,21.377,22.548
324.83,2.149,21.393,22.555
325,2.1466,21.395,22.56
325.17,2.1487,21.4,22.566
325.33,2.1469,21.41,22.572
325.5,2.1483,21.416,22.578
325.67,2.1481,21.416,22.583
325.83,2.1464,21.417,22.59
326,2.1445,21.44,22.595
326.17,2.1475,21.434,22.602
326.33,2.1452,21.44,22.608
326.5,2.1483,21.443,22.614
326.67,2.1443,21.456,22.62
326.83,2.145,21.457,22.626
327,2.1475,21.463,22.633
327.17,2.1464,21.465,22.638
327.33,2.1431,21.466,22.644
327.5,2.1427,21.488,22.65
327.67,2.1428,21.496,22.656
327.83,2.1433,21.491,22.662
328,2.1413,21.496,22.668
328.17,2.141,21.505,22.673
328.33,2.1425,21.513,22.672
328.5,2.1408,21.52,22.685
328.67,2.1405,21.519,22.691
328.83,2.1389,21.528,22.697
329,2.1394,21.536,22.702
329.17,2.1391,21.539,22.708
329.33,2.1405,21.543,22.713
329.5,2.1408,21.549,22.72
329.67,2.143,21.556,22.717
329.83,2.1386,21.559,22.724
330,2.1392,21.57,22.737
330.17,2.1378,21.571,22.735
330.33,2.1381,21.587,22.749
330.5,2.1403,21.585,22.746
330.67,2.1391,21.599,22.752
330.83,2.1396,21.601,22.758
331,2.1395,21.6,22.764
331.17,2.1414,21.609,22.77
331.33,2.136,21.623,22.783
331.5,2.1359,21.63,22.78
331.67,2.1352,21.626,22.787
331.83,2.1346,21.637,22.793
332,2.1335,21.647,22.806
332.17,2.1354,21.638,22.812
332.33,2.134,21.645,22.818
332.5,2.1338,21.67,22.816
332.67,2.1309,21.669,22.829
332.83,2.1346,21.668,22.827
333,2.1312,21.674,22.833
333.17,2.1342,21.688,22.839
333.33,2.1338,21.696,22.852
333.5,2.1318,21.699,22.851
333.67,2.1334,21.71,22.856
333.83,2.1328,21.71,22.862
334,2.132,21.718,22.867
334.17,2.1326,21.727,22.873
334.33,2.1344,21.727,22.879
334.5,2.1307,21.728,22.885
334.67,2.1321,21.738,22.898
334.83,2.1307,21.745,22.896
335,2.1305,21.748,22.901
335.17,2.1353,21.75,22.908
335.33,2.1296,21.76,22.913
335.5,2.1269,21.771,22.919
335.67,2.1294,21.764,22.925
335.83,2.1291,21.777,22.931
336,2.1283,21.78,22.935
336.17,2.131,21.794,22.942
336.33,2.1284,21.791,22.948
336.5,2.1248,21.803,22.953
336.67,2.1253,21.803,22.959
336.83,2.1228,21.805,22.965
337,2.1253,21.818,22.971
337.17,2.126,21.816,22.977
337.33,2.1248,21.832,22.982
337.5,2.127,21.833,22.988
337.67,2.1262,21.831,22.995
337.83,2.1286,9.0051,23.001
